tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,1
13,100,10,2
14,100,10,3
15,100,10,4
16,100,10,5
17,100,10,6
18,100,10,6
19,100,10,6
20,90,10,6
21,80,10,6
22,70,10,6
23,60,10,6
24,50,10,6
25,40,10,6
26,40,10,6
27,50,11,6
28,60,12,6
29,70,13,6
30,80,14,6
31,90,15,6
32,100,16,6
33,100,16,6
34,100,16,6
35,100,16,6
36,90,16,6
37,80,16,6
38,70,16,6
39,60,16,6
40,50,16,6
41,40,16,6
42,40,16,6
43,50,17,6
44,60,18,6
45,70,19,6
46,80,20,6
47,90,21,6
48,100,22,6
49,100,22,6
50,100,22,7
51,100,22,8
52,100,22,9
53,100,22,9
54,100,22,9
55,90,22,9
56,80,22,9
57,70,22,9
58,60,22,9
59,50,22,9
60,40,22,9
61,40,22,9
62,50,23,9
63,60,24,9
64,70,25,9
65,80,26,9
66,90,27,9
67,100,28,9
68,100,28,9
69,100,28,10
70,100,28,11
71,100,28,12
72,100,28,12
73,100,28,12
74,90,28,12
75,80,28,12
76,70,28,12
77,60,28,12
78,50,28,12
79,40,28,12
80,40,28,12
81,50,29,12
82,60,30,12
83,70,31,12
84,80,32,12
85,90,33,12
86,100,34,12
87,100,34,12
88,100,34,12
89,100,34,12
90,90,34,12
91,80,34,12
92,70,34,12
93,60,34,12
94,50,34,12
95,40,34,12
96,30,34,12
97,20,34,12
98,10,34,12
99,0,34,12
100,-10,34,12
101,-10,34,12
102,0,35,12
103,10,36,12
104,20,37,12
105,30,38,12
106,40,39,12
107,50,40,12
108,60,41,12
109,70,42,12
110,80,43,12
111,90,44,12
112,100,45,12
113,100,45,12
114,100,45,12
115,100,45,12
116,90,45,12
117,80,45,12
118,70,45,12
119,60,45,12
120,50,45,12
121,40,45,12
122,30,45,12
123,20,45,12
124,10,45,12
125,0,45,12
126,-10,45,12
127,-10,45,12
128,0,46,12
129,10,47,12
130,20,48,12
131,30,49,12
132,40,50,12
133,50,51,12
134,60,52,12
135,70,53,12
136,80,54,12
137,90,55,12
138,100,56,12
139,100,56,12
140,100,56,12
141,100,56,12
142,90,56,12
143,80,56,12
144,70,56,12
145,60,56,12
146,50,56,12
147,40,56,12
148,40,56,12
149,50,57,12
150,60,58,12
151,70,59,12
152,80,60,12
153,90,61,12
154,100,62,12
155,100,62,12
156,100,62,13
157,100,62,14
158,100,62,15
159,100,62,15
160,100,62,15
161,90,62,15
162,80,62,15
163,70,62,15
164,60,62,15
165,50,62,15
166,40,62,15
167,40,62,15
168,50,63,15
169,60,64,15
170,70,65,15
171,80,66,15
172,90,67,15
173,100,68,15
174,100,68,15
175,100,68,15
176,100,68,15
177,90,68,15
178,80,68,15
179,70,68,15
180,60,68,15
181,50,68,15
182,40,68,15
183,40,68,15
184,50,69,15
185,60,70,15
186,70,71,15
187,80,72,15
188,90,73,15
189,100,74,15
190,100,74,15
191,100,74,15
192,100,74,15
193,90,74,15
194,80,74,15
195,70,74,15
196,60,74,15
197,50,74,15
198,40,74,15
199,40,74,15
200,50,75,15
201,60,76,15
202,70,77,15
203,80,78,15
204,90,79,15
205,100,80,15
206,100,80,15
207,100,80,16
208,100,80,17
209,100,80,18
210,100,80,18
211,100,80,18
212,90,80,18
213,80,80,18
214,70,80,18
215,60,80,18
216,50,80,18
217,40,80,18
218,30,80,18
219,20,80,18
220,10,80,18
221,0,80,18
222,-10,80,18
223,-10,80,18
224,0,81,18
225,10,82,18
226,20,83,18
227,30,84,18
228,40,85,18
229,50,86,18
230,60,87,18
231,70,88,18
232,80,89,18
233,90,90,18
234,100,91,18
235,100,91,18
236,100,91,19
237,100,91,20
238,100,91,21
239,100,91,22
240,100,91,22
241,100,91,22
242,90,91,22
243,80,91,22
244,70,91,22
245,60,91,22
246,50,91,22
247,40,91,22
248,40,91,22
249,50,92,22
250,60,93,22
251,70,94,22
252,80,95,22
253,90,96,22
254,100,97,22
255,100,97,22
256,100,97,23
257,100,97,24
258,100,97,25
259,100,97,26
260,100,97,26
261,100,97,26
262,90,97,26
263,80,97,26
264,70,97,26
265,60,97,26
266,50,97,26
267,40,97,26
268,30,97,26
269,20,97,26
270,10,97,26
271,10,97,26
272,20,98,26
273,30,99,26
274,40,100,26
275,50,101,26
276,60,102,26
277,70,103,26
278,80,104,26
279,90,105,26
280,100,106,26
281,100,106,26
282,100,106,27
283,100,106,27
284,100,106,27
285,90,106,27
286,80,106,27
287,70,106,27
288,60,106,27
289,50,106,27
290,40,106,27
291,40,106,27
292,50,107,27
293,60,108,27
294,70,109,27
295,80,110,27
296,90,111,27
297,100,112,27
298,100,112,27
299,100,112,28
300,100,112,29
301,100,112,30
302,100,112,31
303,100,112,31
304,100,112,31
305,90,112,31
306,80,112,31
307,70,112,31
308,60,112,31
