tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,0
13,90,10,0
14,80,10,0
15,70,10,0
16,60,10,0
17,50,10,0
18,40,10,0
19,30,10,0
20,20,10,0
21,10,10,0
22,10,10,0
23,20,11,0
24,30,12,0
25,40,13,0
26,50,14,0
27,60,15,0
28,70,16,0
29,80,17,0
30,90,18,0
31,100,19,0
32,100,19,0
33,100,19,1
34,100,19,1
35,100,19,1
36,90,19,1
37,80,19,1
38,70,19,1
39,60,19,1
40,50,19,1
41,40,19,1
42,30,19,1
43,20,19,1
44,10,19,1
45,10,19,1
46,20,20,1
47,30,21,1
48,40,22,1
49,50,23,1
50,60,24,1
51,70,25,1
52,80,26,1
53,90,27,1
54,100,28,1
55,100,28,1
56,100,28,2
57,100,28,3
58,100,28,4
59,100,28,4
60,100,28,4
61,90,28,4
62,80,28,4
63,70,28,4
64,60,28,4
65,50,28,4
66,40,28,4
67,30,28,4
68,20,28,4
69,10,28,4
70,10,28,4
71,20,29,4
72,30,30,4
73,40,31,4
74,50,32,4
75,60,33,4
76,70,34,4
77,80,35,4
78,90,36,4
79,100,37,4
80,100,37,4
81,100,37,5
82,100,37,6
83,100,37,7
84,100,37,8
85,100,37,9
86,100,37,10
87,100,37,11
88,100,37,12
89,100,37,13
90,100,37,14
91,100,37,15
92,100,37,16
93,100,37,17
94,100,37,18
95,100,37,19
96,100,37,20
97,100,37,21
98,100,37,22
99,100,37,23
100,100,37,24
101,100,37,25
102,100,37,26
103,100,37,27
104,100,37,28
105,100,37,29
106,100,37,30
107,100,37,31
108,100,37,32
109,100,37,33
110,100,37,34
111,100,37,35
112,100,37,36
113,100,37,37
114,100,37,37
115,100,37,37
116,90,37,37
117,80,37,37
118,70,37,37
119,60,37,37
120,50,37,37
121,40,37,37
122,30,37,37
123,20,37,37
124,10,37,37
125,10,37,37
126,20,38,37
127,30,39,37
128,40,40,37
129,50,41,37
130,60,42,37
131,70,43,37
132,80,44,37
133,90,45,37
134,100,46,37
135,100,46,37
136,100,46,38
137,100,46,39
138,100,46,40
139,100,46,41
140,100,46,41
141,100,46,41
142,90,46,41
143,80,46,41
144,70,46,41
145,60,46,41
146,50,46,41
147,40,46,41
148,30,46,41
149,20,46,41
150,10,46,41
151,10,46,41
152,20,47,41
153,30,48,41
154,40,49,41
155,50,50,41
156,60,51,41
157,70,52,41
158,80,53,41
159,90,54,41
160,100,55,41
161,100,55,41
162,100,55,42
163,100,55,43
164,100,55,43
165,100,55,43
166,90,55,43
167,80,55,43
168,70,55,43
169,60,55,43
170,50,55,43
171,40,55,43
172,30,55,43
173,20,55,43
174,10,55,43
175,10,55,43
176,20,56,43
177,30,57,43
178,40,58,43
179,50,59,43
180,60,60,43
181,70,61,43
182,80,62,43
183,90,63,43
184,100,64,43
185,100,64,43
186,100,64,43
187,100,64,43
188,90,64,43
189,80,64,43
190,70,64,43
191,60,64,43
192,50,64,43
193,40,64,43
194,30,64,43
195,20,64,43
196,10,64,43
197,10,64,43
198,20,65,43
199,30,66,43
200,40,67,43
201,50,68,43
202,60,69,43
203,70,70,43
204,80,71,43
205,90,72,43
206,100,73,43
207,100,73,43
208,100,73,43
209,100,73,44
210,100,73,45
211,100,73,46
212,100,73,47
213,100,73,48
214,100,73,49
215,100,73,49
216,100,73,49
217,90,73,49
218,80,73,49
219,70,73,49
220,60,73,49
221,50,73,49
222,40,73,49
223,30,73,49
224,20,73,49
225,10,73,49
226,10,73,49
227,20,74,49
228,30,75,49
229,40,76,49
230,50,77,49
231,60,78,49
232,70,79,49
233,80,80,49
234,90,81,49
235,100,82,49
236,100,82,49
237,100,82,50
238,100,82,51
239,100,82,52
240,100,82,53
241,100,82,54
242,100,82,55
243,100,82,56
244,100,82,57
245,100,82,58
246,100,82,59
247,100,82,60
248,100,82,61
249,100,82,62
250,100,82,63
251,100,82,64
252,100,82,65
253,100,82,66
254,100,82,67
255,100,82,68
256,100,82,69
257,100,82,70
258,100,82,71
259,100,82,72
260,100,82,73
261,100,82,74
262,100,82,75
263,100,82,76
264,100,82,77
265,100,82,78
266,100,82,79
267,100,82,80
268,100,82,81
269,100,82,82
270,100,82,83
271,100,82,83
272,100,82,83
273,90,82,83
274,80,82,83
275,70,82,83
276,60,82,83
277,50,82,83
278,40,82,83
279,30,82,83
280,20,82,83
281,10,82,83
282,10,82,83
283,20,83,83
284,30,84,83
285,40,85,83
286,50,86,83
287,60,87,83
288,70,88,83
289,80,89,83
290,90,90,83
291,100,91,83
292,100,91,83
293,100,91,84
294,100,91,85
295,100,91,85
296,100,91,85
297,90,91,85
298,80,91,85
299,70,91,85
300,60,91,85
301,50,91,85
302,40,91,85
303,30,91,85
304,20,91,85
305,10,91,85
306,10,91,85
307,20,92,85
308,30,93,85
309,40,94,85
