tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,1
13,100,10,2
14,100,10,3
15,100,10,4
16,100,10,5
17,100,10,6
18,100,10,7
19,100,10,8
20,100,10,9
21,100,10,10
22,100,10,11
23,100,10,12
24,100,10,13
25,100,10,14
26,100,10,15
27,100,10,16
28,100,10,17
29,100,10,17
30,100,10,17
31,95,10,17
32,90,10,17
33,85,10,17
34,80,10,17
35,75,10,17
36,70,10,17
37,65,10,17
38,60,10,17
39,55,10,17
40,50,10,17
41,45,10,17
42,45,10,17
43,55,11,17
44,65,12,17
45,75,13,17
46,85,14,17
47,95,15,17
48,105,16,17
49,105,16,17
50,105,16,18
51,105,16,19
52,105,16,20
53,105,16,21
54,105,16,22
55,105,16,23
56,105,16,24
57,105,16,25
58,105,16,26
59,105,16,27
60,105,16,28
61,105,16,29
62,105,16,30
63,105,16,31
64,105,16,32
65,105,16,33
66,105,16,33
67,105,16,33
68,100,16,33
69,95,16,33
70,90,16,33
71,85,16,33
72,80,16,33
73,75,16,33
74,70,16,33
75,65,16,33
76,60,16,33
77,55,16,33
78,50,16,33
79,45,16,33
80,45,16,33
81,55,17,33
82,65,18,33
83,75,19,33
84,85,20,33
85,95,21,33
86,105,22,33
87,105,22,33
88,105,22,34
89,105,22,35
90,105,22,36
91,105,22,37
92,105,22,38
93,105,22,39
94,105,22,40
95,105,22,41
96,105,22,42
97,105,22,43
98,105,22,44
99,105,22,44
100,105,22,44
101,100,22,44
102,95,22,44
103,90,22,44
104,85,22,44
105,80,22,44
106,75,22,44
107,70,22,44
108,65,22,44
109,60,22,44
110,55,22,44
111,50,22,44
112,45,22,44
113,45,22,44
114,55,23,44
115,65,24,44
116,75,25,44
117,85,26,44
118,95,27,44
119,105,28,44
120,105,28,44
121,105,28,45
122,105,28,46
123,105,28,47
124,105,28,48
125,105,28,49
126,105,28,50
127,105,28,51
128,105,28,52
129,105,28,53
130,105,28,54
131,105,28,55
132,105,28,56
133,105,28,57
134,105,28,58
135,105,28,59
136,105,28,60
137,105,28,61
138,105,28,62
139,105,28,63
140,105,28,63
141,105,28,63
142,100,28,63
143,95,28,63
144,90,28,63
145,85,28,63
146,80,28,63
147,75,28,63
148,70,28,63
149,65,28,63
150,60,28,63
151,55,28,63
152,50,28,63
153,45,28,63
154,45,28,63
155,55,29,63
156,65,30,63
157,75,31,63
158,85,32,63
159,95,33,63
160,105,34,63
161,105,34,63
162,105,34,64
163,105,34,64
164,105,34,64
165,100,34,64
166,95,34,64
167,90,34,64
168,85,34,64
169,80,34,64
170,75,34,64
171,70,34,64
172,65,34,64
173,60,34,64
174,55,34,64
175,50,34,64
176,45,34,64
177,45,34,64
178,55,35,64
179,65,36,64
180,75,37,64
181,85,38,64
182,95,39,64
183,105,40,64
184,105,40,64
185,105,40,64
186,105,40,64
187,100,40,64
188,95,40,64
189,90,40,64
190,85,40,64
191,80,40,64
192,75,40,64
193,70,40,64
194,65,40,64
195,60,40,64
196,55,40,64
197,50,40,64
198,45,40,64
199,45,40,64
200,55,41,64
201,65,42,64
202,75,43,64
203,85,44,64
204,95,45,64
205,105,46,64
206,105,46,64
207,105,46,64
208,105,46,64
209,100,46,64
210,95,46,64
211,90,46,64
212,85,46,64
213,80,46,64
214,75,46,64
215,70,46,64
216,65,46,64
217,60,46,64
218,55,46,64
219,50,46,64
220,45,46,64
221,45,46,64
222,55,47,64
223,65,48,64
224,75,49,64
225,85,50,64
226,95,51,64
227,105,52,64
228,105,52,64
229,105,52,65
230,105,52,66
231,105,52,67
232,105,52,68
233,105,52,69
234,105,52,70
235,105,52,71
236,105,52,71
237,105,52,71
238,100,52,71
239,95,52,71
240,90,52,71
241,85,52,71
242,80,52,71
243,75,52,71
244,70,52,71
245,65,52,71
246,60,52,71
247,55,52,71
248,50,52,71
249,45,52,71
250,45,52,71
251,55,53,71
252,65,54,71
253,75,55,71
254,85,56,71
255,95,57,71
256,105,58,71
257,105,58,71
258,105,58,71
259,105,58,71
260,100,58,71
261,95,58,71
262,90,58,71
263,85,58,71
264,80,58,71
265,75,58,71
266,70,58,71
267,65,58,71
268,60,58,71
269,55,58,71
270,50,58,71
271,45,58,71
272,45,58,71
273,55,59,71
274,65,60,71
275,75,61,71
276,85,62,71
277,95,63,71
278,105,64,71
279,105,64,71
280,105,64,71
281,105,64,71
282,100,64,71
283,95,64,71
284,90,64,71
285,85,64,71
286,80,64,71
287,75,64,71
288,70,64,71
289,65,64,71
290,60,64,71
291,55,64,71
292,50,64,71
293,45,64,71
294,40,64,71
295,35,64,71
296,30,64,71
297,25,64,71
298,20,64,71
299,15,64,71
300,10,64,71
301,5,64,71
302,0,64,71
303,-5,64,71
304,-5,64,71
305,5,65,71
306,15,66,71
307,25,67,71
308,35,68,71
309,45,69,71
