tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,1
13,100,10,2
14,100,10,3
15,100,10,4
16,100,10,5
17,100,10,6
18,100,10,7
19,100,10,8
20,100,10,9
21,100,10,10
22,100,10,11
23,100,10,12
24,100,10,13
25,100,10,13
26,100,10,13
27,90,10,13
28,80,10,13
29,70,10,13
30,60,10,13
31,50,10,13
32,40,10,13
33,30,10,13
34,20,10,13
35,10,10,13
36,0,10,13
37,-10,10,13
38,-10,10,13
39,0,11,13
40,10,12,13
41,20,13,13
42,30,14,13
43,40,15,13
44,50,16,13
45,60,17,13
46,70,18,13
47,80,19,13
48,90,20,13
49,100,21,13
50,100,21,13
51,100,21,14
52,100,21,15
53,100,21,16
54,100,21,17
55,100,21,18
56,100,21,18
57,100,21,18
58,90,21,18
59,80,21,18
60,70,21,18
61,60,21,18
62,50,21,18
63,40,21,18
64,30,21,18
65,20,21,18
66,10,21,18
67,0,21,18
68,-10,21,18
69,-10,21,18
70,0,22,18
71,10,23,18
72,20,24,18
73,30,25,18
74,40,26,18
75,50,27,18
76,60,28,18
77,70,29,18
78,80,30,18
79,90,31,18
80,100,32,18
81,100,32,18
82,100,32,18
83,100,32,18
84,90,32,18
85,80,32,18
86,70,32,18
87,60,32,18
88,50,32,18
89,40,32,18
90,30,32,18
91,20,32,18
92,10,32,18
93,0,32,18
94,-10,32,18
95,-10,32,18
96,0,33,18
97,10,34,18
98,20,35,18
99,30,36,18
100,40,37,18
101,50,38,18
102,60,39,18
103,70,40,18
104,80,41,18
105,90,42,18
106,100,43,18
107,100,43,18
108,100,43,19
109,100,43,19
110,100,43,19
111,90,43,19
112,80,43,19
113,70,43,19
114,60,43,19
115,50,43,19
116,40,43,19
117,30,43,19
118,20,43,19
119,10,43,19
120,0,43,19
121,-10,43,19
122,-10,43,19
123,0,44,19
124,10,45,19
125,20,46,19
126,30,47,19
127,40,48,19
128,50,49,19
129,60,50,19
130,70,51,19
131,80,52,19
132,90,53,19
133,100,54,19
134,100,54,19
135,100,54,20
136,100,54,21
137,100,54,22
138,100,54,23
139,100,54,24
140,100,54,25
141,100,54,26
142,100,54,27
143,100,54,28
144,100,54,29
145,100,54,30
146,100,54,31
147,100,54,32
148,100,54,33
149,100,54,34
150,100,54,35
151,100,54,36
152,100,54,37
153,100,54,38
154,100,54,39
155,100,54,40
156,100,54,41
157,100,54,42
158,100,54,43
159,100,54,44
160,100,54,45
161,100,54,45
162,100,54,45
163,90,54,45
164,80,54,45
165,70,54,45
166,60,54,45
167,50,54,45
168,40,54,45
169,30,54,45
170,20,54,45
171,10,54,45
172,0,54,45
173,-10,54,45
174,-10,54,45
175,0,55,45
176,10,56,45
177,20,57,45
178,30,58,45
179,40,59,45
180,50,60,45
181,60,61,45
182,70,62,45
183,80,63,45
184,90,64,45
185,100,65,45
186,100,65,45
187,100,65,46
188,100,65,47
189,100,65,48
190,100,65,49
191,100,65,50
192,100,65,51
193,100,65,51
194,100,65,51
195,90,65,51
196,80,65,51
197,70,65,51
198,60,65,51
199,50,65,51
200,40,65,51
201,30,65,51
202,20,65,51
203,10,65,51
204,0,65,51
205,-10,65,51
206,-10,65,51
207,0,66,51
208,10,67,51
209,20,68,51
210,30,69,51
211,40,70,51
212,50,71,51
213,60,72,51
214,70,73,51
215,80,74,51
216,90,75,51
217,100,76,51
218,100,76,51
219,100,76,52
220,100,76,53
221,100,76,54
222,100,76,55
223,100,76,56
224,100,76,57
225,100,76,57
226,100,76,57
227,90,76,57
228,80,76,57
229,70,76,57
230,60,76,57
231,50,76,57
232,40,76,57
233,30,76,57
234,20,76,57
235,10,76,57
236,0,76,57
237,-10,76,57
238,-10,76,57
239,0,77,57
240,10,78,57
241,20,79,57
242,30,80,57
243,40,81,57
244,50,82,57
245,60,83,57
246,70,84,57
247,80,85,57
248,90,86,57
249,100,87,57
250,100,87,57
251,100,87,58
252,100,87,59
253,100,87,60
254,100,87,61
255,100,87,61
256,100,87,61
257,90,87,61
258,80,87,61
259,70,87,61
260,60,87,61
261,50,87,61
262,40,87,61
263,30,87,61
264,20,87,61
265,10,87,61
266,0,87,61
267,-10,87,61
268,-10,87,61
269,0,88,61
270,10,89,61
271,20,90,61
272,30,91,61
273,40,92,61
274,50,93,61
275,60,94,61
276,70,95,61
277,80,96,61
278,90,97,61
279,100,98,61
280,100,98,61
281,100,98,62
282,100,98,63
283,100,98,64
284,100,98,65
285,100,98,66
286,100,98,67
287,100,98,68
288,100,98,69
289,100,98,70
290,100,98,71
291,100,98,72
292,100,98,73
293,100,98,74
294,100,98,75
295,100,98,76
296,100,98,77
297,100,98,78
298,100,98,79
299,100,98,80
300,100,98,81
301,100,98,82
302,100,98,83
303,100,98,84
304,100,98,85
305,100,98,86
306,100,98,87
307,100,98,88
