tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,0
12,100,10,0
13,90,10,0
14,80,10,0
15,70,10,0
16,60,10,0
17,50,10,0
18,50,10,0
19,60,11,0
20,70,12,0
21,80,13,0
22,90,14,0
23,100,15,0
24,100,15,0
25,100,15,1
26,100,15,2
27,100,15,2
28,100,15,2
29,90,15,2
30,80,15,2
31,70,15,2
32,70,15,2
33,80,16,2
34,90,17,2
35,100,18,2
36,100,18,2
37,100,18,3
38,100,18,4
39,100,18,5
40,100,18,6
41,100,18,6
42,100,18,6
43,90,18,6
44,80,18,6
45,70,18,6
46,70,18,6
47,80,19,6
48,90,20,6
49,100,21,6
50,100,21,6
51,100,21,7
52,100,21,8
53,100,21,8
54,100,21,8
55,90,21,8
56,80,21,8
57,70,21,8
58,70,21,8
59,80,22,8
60,90,23,8
61,100,24,8
62,100,24,8
63,100,24,9
64,100,24,10
65,100,24,11
66,100,24,11
67,100,24,11
68,90,24,11
69,80,24,11
70,70,24,11
71,70,24,11
72,80,25,11
73,90,26,11
74,100,27,11
75,100,27,11
76,100,27,11
77,100,27,12
78,100,27,13
79,100,27,14
80,100,27,14
81,100,27,14
82,90,27,14
83,80,27,14
84,70,27,14
85,70,27,14
86,80,28,14
87,90,29,14
88,100,30,14
89,100,30,14
90,100,30,15
91,100,30,16
92,100,30,16
93,100,30,16
94,90,30,16
95,80,30,16
96,70,30,16
97,70,30,16
98,80,31,16
99,90,32,16
100,100,33,16
101,100,33,16
102,100,33,17
103,100,33,18
104,100,33,19
105,100,33,19
106,100,33,19
107,90,33,19
108,80,33,19
109,70,33,19
110,70,33,19
111,80,34,19
112,90,35,19
113,100,36,19
114,100,36,19
115,100,36,20
116,100,36,21
117,100,36,22
118,100,36,22
119,100,36,22
120,90,36,22
121,80,36,22
122,70,36,22
123,70,36,22
124,80,37,22
125,90,38,22
126,100,39,22
127,100,39,22
128,100,39,23
129,100,39,24
130,100,39,25
131,100,39,25
132,100,39,25
133,90,39,25
134,80,39,25
135,70,39,25
136,70,39,25
137,80,40,25
138,90,41,25
139,100,42,25
140,100,42,25
141,100,42,26
142,100,42,27
143,100,42,28
144,100,42,29
145,100,42,30
146,100,42,30
147,100,42,31
148,100,42,32
149,100,42,33
150,100,42,33
151,100,42,34
152,100,42,35
153,100,42,36
154,100,42,37
155,100,42,38
156,100,42,39
157,100,42,39
158,100,42,40
159,100,42,41
160,100,42,42
161,100,42,43
162,100,42,44
163,100,42,44
164,100,42,44
165,90,42,44
166,80,42,44
167,70,42,44
168,70,42,44
169,80,43,44
170,90,44,44
171,100,45,44
172,100,45,44
173,100,45,44
174,100,45,45
175,100,45,46
176,100,45,47
177,100,45,48
178,100,45,48
179,100,45,48
180,90,45,48
181,80,45,48
182,70,45,48
183,70,45,48
184,80,46,48
185,90,47,48
186,100,48,48
187,100,48,48
188,100,48,49
189,100,48,50
190,100,48,51
191,100,48,52
192,100,48,53
193,100,48,54
194,100,48,55
195,100,48,56
196,100,48,57
197,100,48,58
198,100,48,59
199,100,48,60
200,100,48,61
201,100,48,62
202,100,48,63
203,100,48,64
204,100,48,65
205,100,48,66
206,100,48,67
207,100,48,68
208,100,48,69
209,100,48,70
210,100,48,71
211,100,48,72
212,100,48,73
213,100,48,74
214,100,48,75
215,100,48,76
216,100,48,77
217,100,48,78
218,100,48,79
219,100,48,80
220,100,48,81
221,100,48,82
222,100,48,82
223,100,48,82
224,90,48,82
225,80,48,82
226,70,48,82
227,70,48,82
228,80,49,82
229,90,50,82
230,100,51,82
231,100,51,82
232,100,51,83
233,100,51,83
234,100,51,83
235,90,51,83
236,80,51,83
237,70,51,83
238,60,51,83
239,50,51,83
240,40,51,83
241,40,51,83
242,50,52,83
243,60,53,83
244,70,54,83
245,80,55,83
246,90,56,83
247,100,57,83
248,100,57,83
249,100,57,84
250,100,57,85
251,100,57,85
252,100,57,85
253,90,57,85
254,80,57,85
255,70,57,85
256,60,57,85
257,50,57,85
258,50,57,85
259,60,58,85
260,70,59,85
261,80,60,85
262,90,61,85
263,100,62,85
264,100,62,85
265,100,62,86
266,100,62,87
267,100,62,87
268,100,62,87
269,90,62,87
270,80,62,87
271,70,62,87
272,70,62,87
273,80,63,87
274,90,64,87
275,100,65,87
276,100,65,87
277,100,65,87
278,100,65,87
279,90,65,87
280,80,65,87
281,70,65,87
282,60,65,87
283,50,65,87
284,40,65,87
285,40,65,87
286,50,66,87
287,60,67,87
288,70,68,87
289,80,69,87
290,90,70,87
291,100,71,87
292,100,71,87
293,100,71,88
294,100,71,88
295,100,71,88
296,90,71,88
297,80,71,88
298,70,71,88
299,70,71,88
300,80,72,88
301,90,73,88
302,100,74,88
303,100,74,88
304,100,74,88
305,100,74,88
306,90,74,88
307,80,74,88
308,70,74,88
309,70,74,88
