tour,faim,pensee,famine
0,10,1,0
1,20,2,0
2,30,3,0
3,40,4,0
4,50,5,0
5,60,6,0
6,70,7,0
7,80,8,0
8,90,9,0
9,100,10,0
10,100,10,0
11,100,10,1
12,100,10,2
13,100,10,3
14,100,10,4
15,100,10,5
16,100,10,5
17,100,10,5
18,90,10,5
19,80,10,5
20,70,10,5
21,60,10,5
22,50,10,5
23,40,10,5
24,40,10,5
25,50,11,5
26,60,12,5
27,70,13,5
28,80,14,5
29,90,15,5
30,100,16,5
31,100,16,5
32,100,16,6
33,100,16,7
34,100,16,8
35,100,16,9
36,100,16,10
37,100,16,11
38,100,16,12
39,100,16,13
40,100,16,13
41,100,16,14
42,100,16,15
43,100,16,16
44,100,16,17
45,100,16,18
46,100,16,19
47,100,16,20
48,100,16,21
49,100,16,22
50,100,16,23
51,100,16,24
52,100,16,25
53,100,16,26
54,100,16,27
55,100,16,27
56,100,16,27
57,90,16,27
58,80,16,27
59,70,16,27
60,60,16,27
61,50,16,27
62,40,16,27
63,40,16,27
64,50,17,27
65,60,18,27
66,70,19,27
67,80,20,27
68,90,21,27
69,100,22,27
70,100,22,27
71,100,22,28
72,100,22,29
73,100,22,30
74,100,22,31
75,100,22,32
76,100,22,33
77,100,22,34
78,100,22,35
79,100,22,36
80,100,22,37
81,100,22,38
82,100,22,39
83,100,22,40
84,100,22,41
85,100,22,42
86,100,22,43
87,100,22,44
88,100,22,45
89,100,22,46
90,100,22,46
91,100,22,46
92,90,22,46
93,80,22,46
94,70,22,46
95,60,22,46
96,50,22,46
97,40,22,46
98,40,22,46
99,50,23,46
100,60,24,46
101,70,25,46
102,80,26,46
103,90,27,46
104,100,28,46
105,100,28,46
106,100,28,47
107,100,28,48
108,100,28,49
109,100,28,49
110,100,28,49
111,90,28,49
112,80,28,49
113,70,28,49
114,60,28,49
115,50,28,49
116,40,28,49
117,40,28,49
118,50,29,49
119,60,30,49
120,70,31,49
121,80,32,49
122,90,33,49
123,100,34,49
124,100,34,49
125,100,34,50
126,100,34,51
127,100,34,51
128,100,34,51
129,90,34,51
130,80,34,51
131,70,34,51
132,60,34,51
133,50,34,51
134,40,34,51
135,40,34,51
136,50,35,51
137,60,36,51
138,70,37,51
139,80,38,51
140,90,39,51
141,100,40,51
142,100,40,51
143,100,40,52
144,100,40,53
145,100,40,53
146,100,40,53
147,90,40,53
148,80,40,53
149,70,40,53
150,60,40,53
151,50,40,53
152,40,40,53
153,30,40,53
154,30,40,53
155,40,41,53
156,50,42,53
157,60,43,53
158,70,44,53
159,80,45,53
160,90,46,53
161,100,47,53
162,100,47,53
163,100,47,54
164,100,47,55
165,100,47,55
166,100,47,55
167,90,47,55
168,80,47,55
169,70,47,55
170,60,47,55
171,50,47,55
172,40,47,55
173,40,47,55
174,50,48,55
175,60,49,55
176,70,50,55
177,80,51,55
178,90,52,55
179,100,53,55
180,100,53,55
181,100,53,56
182,100,53,57
183,100,53,57
184,100,53,57
185,90,53,57
186,80,53,57
187,70,53,57
188,60,53,57
189,50,53,57
190,40,53,57
191,30,53,57
192,30,53,57
193,40,54,57
194,50,55,57
195,60,56,57
196,70,57,57
197,80,58,57
198,90,59,57
199,100,60,57
200,100,60,57
201,100,60,58
202,100,60,59
203,100,60,60
204,100,60,61
205,100,60,61
206,100,60,61
207,90,60,61
208,80,60,61
209,70,60,61
210,60,60,61
211,50,60,61
212,40,60,61
213,40,60,61
214,50,61,61
215,60,62,61
216,70,63,61
217,80,64,61
218,90,65,61
219,100,66,61
220,100,66,61
221,100,66,62
222,100,66,63
223,100,66,64
224,100,66,64
225,100,66,64
226,90,66,64
227,80,66,64
228,70,66,64
229,60,66,64
230,50,66,64
231,40,66,64
232,40,66,64
233,50,67,64
234,60,68,64
235,70,69,64
236,80,70,64
237,90,71,64
238,100,72,64
239,100,72,64
240,100,72,65
241,100,72,65
242,100,72,65
243,90,72,65
244,80,72,65
245,70,72,65
246,60,72,65
247,50,72,65
248,40,72,65
249,40,72,65
250,50,73,65
251,60,74,65
252,70,75,65
253,80,76,65
254,90,77,65
255,100,78,65
256,100,78,65
257,100,78,66
258,100,78,67
259,100,78,68
260,100,78,69
261,100,78,69
262,100,78,69
263,90,78,69
264,80,78,69
265,70,78,69
266,60,78,69
267,50,78,69
268,40,78,69
269,40,78,69
270,50,79,69
271,60,80,69
272,70,81,69
273,80,82,69
274,90,83,69
275,100,84,69
276,100,84,69
277,100,84,70
278,100,84,71
279,100,84,72
280,100,84,73
281,100,84,74
282,100,84,75
283,100,84,76
284,100,84,77
285,100,84,78
286,100,84,79
287,100,84,80
288,100,84,81
289,100,84,82
290,100,84,83
291,100,84,84
292,100,84,85
293,100,84,86
294,100,84,87
295,100,84,88
296,100,84,89
297,100,84,90
298,100,84,91
299,100,84,92
300,100,84,93
301,100,84,94
302,100,84,95
303,100,84,96
304,100,84,97
305,100,84,98
306,100,84,99
307,100,84,100
308,100,84,101
309,100,84,102
