tour,faim,pensee,famine
0,15,1,0
1,30,2,0
2,45,3,0
3,60,4,0
4,75,5,0
5,90,6,0
6,105,7,0
7,105,7,0
8,105,7,0
9,105,7,1
10,105,7,2
11,105,7,3
12,105,7,3
13,105,7,3
14,95,7,3
15,85,7,3
16,75,7,3
17,65,7,3
18,55,7,3
19,45,7,3
20,45,7,3
21,60,8,3
22,75,9,3
23,90,10,3
24,105,11,3
25,105,11,3
26,105,11,4
27,105,11,5
28,105,11,6
29,105,11,7
30,105,11,8
31,105,11,9
32,105,11,9
33,105,11,9
34,95,11,9
35,85,11,9
36,75,11,9
37,65,11,9
38,55,11,9
39,45,11,9
40,45,11,9
41,60,12,9
42,75,13,9
43,90,14,9
44,105,15,9
45,105,15,9
46,105,15,10
47,105,15,11
48,105,15,12
49,105,15,13
50,105,15,14
51,105,15,15
52,105,15,16
53,105,15,17
54,105,15,18
55,105,15,18
56,105,15,18
57,95,15,18
58,85,15,18
59,75,15,18
60,65,15,18
61,55,15,18
62,45,15,18
63,45,15,18
64,60,16,18
65,75,17,18
66,90,18,18
67,105,19,18
68,105,19,18
69,105,19,19
70,105,19,20
71,105,19,21
72,105,19,22
73,105,19,23
74,105,19,24
75,105,19,25
76,105,19,26
77,105,19,27
78,105,19,28
79,105,19,29
80,105,19,30
81,105,19,31
82,105,19,32
83,105,19,33
84,105,19,34
85,105,19,35
86,105,19,36
87,105,19,37
88,105,19,38
89,105,19,39
90,105,19,40
91,105,19,41
92,105,19,42
93,105,19,43
94,105,19,44
95,105,19,45
96,105,19,46
97,105,19,47
98,105,19,48
99,105,19,49
100,105,19,50
101,105,19,51
102,105,19,52
103,105,19,53
104,105,19,53
105,105,19,53
106,95,19,53
107,85,19,53
108,75,19,53
109,65,19,53
110,55,19,53
111,45,19,53
112,45,19,53
113,60,20,53
114,75,21,53
115,90,22,53
116,105,23,53
117,105,23,53
118,105,23,54
119,105,23,55
120,105,23,56
121,105,23,57
122,105,23,57
123,105,23,57
124,95,23,57
125,85,23,57
126,75,23,57
127,65,23,57
128,55,23,57
129,45,23,57
130,45,23,57
131,60,24,57
132,75,25,57
133,90,26,57
134,105,27,57
135,105,27,57
136,105,27,58
137,105,27,59
138,105,27,60
139,105,27,61
140,105,27,62
141,105,27,62
142,105,27,62
143,95,27,62
144,85,27,62
145,75,27,62
146,65,27,62
147,55,27,62
148,45,27,62
149,45,27,62
150,60,28,62
151,75,29,62
152,90,30,62
153,105,31,62
154,105,31,62
155,105,31,63
156,105,31,64
157,105,31,65
158,105,31,66
159,105,31,67
160,105,31,68
161,105,31,69
162,105,31,70
163,105,31,71
164,105,31,72
165,105,31,73
166,105,31,74
167,105,31,75
168,105,31,76
169,105,31,77
170,105,31,78
171,105,31,78
172,105,31,78
173,95,31,78
174,85,31,78
175,75,31,78
176,65,31,78
177,55,31,78
178,45,31,78
179,45,31,78
180,60,32,78
181,75,33,78
182,90,34,78
183,105,35,78
184,105,35,78
185,105,35,79
186,105,35,80
187,105,35,81
188,105,35,82
189,105,35,83
190,105,35,84
191,105,35,85
192,105,35,85
193,105,35,85
194,95,35,85
195,85,35,85
196,75,35,85
197,65,35,85
198,55,35,85
199,45,35,85
200,45,35,85
201,60,36,85
202,75,37,85
203,90,38,85
204,105,39,85
205,105,39,85
206,105,39,86
207,105,39,87
208,105,39,88
209,105,39,89
210,105,39,90
211,105,39,91
212,105,39,92
213,105,39,93
214,105,39,94
215,105,39,95
216,105,39,96
217,105,39,97
218,105,39,98
219,105,39,98
220,105,39,99
221,105,39,100
222,105,39,101
223,105,39,102
224,105,39,103
225,105,39,104
226,105,39,105
227,105,39,105
228,105,39,105
229,95,39,105
230,85,39,105
231,75,39,105
232,65,39,105
233,55,39,105
234,45,39,105
235,45,39,105
236,60,40,105
237,75,41,105
238,90,42,105
239,105,43,105
240,105,43,105
241,105,43,106
242,105,43,107
243,105,43,108
244,105,43,109
245,105,43,110
246,105,43,111
247,105,43,112
248,105,43,113
249,105,43,114
250,105,43,115
251,105,43,115
252,105,43,115
253,95,43,115
254,85,43,115
255,75,43,115
256,65,43,115
257,55,43,115
258,45,43,115
259,45,43,115
260,60,44,115
261,75,45,115
262,90,46,115
263,105,47,115
264,105,47,115
265,105,47,116
266,105,47,117
267,105,47,118
268,105,47,118
269,105,47,118
270,95,47,118
271,85,47,118
272,75,47,118
273,65,47,118
274,55,47,118
275,45,47,118
276,45,47,118
277,60,48,118
278,75,49,118
279,90,50,118
280,105,51,118
281,105,51,118
282,105,51,119
283,105,51,120
284,105,51,121
285,105,51,121
286,105,51,121
287,95,51,121
288,85,51,121
289,75,51,121
290,65,51,121
291,55,51,121
292,45,51,121
293,45,51,121
294,60,52,121
295,75,53,121
296,90,54,121
297,105,55,121
298,105,55,121
299,105,55,122
300,105,55,123
301,105,55,124
302,105,55,124
303,105,55,124
304,95,55,124
305,85,55,124
306,75,55,124
307,65,55,124
308,55,55,124
309,45,55,124
310,45,55,124
311,60,56,124
312,75,57,124
313,90,58,124
314,105,59,124
315,105,59,124
316,105,59,125
317,105,59,126
318,105,59,127
319,105,59,127
320,105,59,127
321,95,59,127
322,85,59,127
323,75,59,127
324,65,59,127
325,55,59,127
326,45,59,127
327,45,59,127
328,60,60,127
329,75,61,127
330,90,62,127
331,105,63,127
332,105,63,127
333,105,63,127
334,105,63,127
335,95,63,127
336,85,63,127
337,75,63,127
338,65,63,127
339,55,63,127
340,45,63,127
341,45,63,127
342,60,64,127
343,75,65,127
344,90,66,127
345,105,67,127
346,105,67,127
347,105,67,128
348,105,67,129
349,105,67,130
350,105,67,131
351,105,67,132
352,105,67,133
353,105,67,134
354,105,67,135
355,105,67,136
356,105,67,137
357,105,67,138
358,105,67,138
359,105,67,138
360,95,67,138
361,85,67,138
362,75,67,138
363,65,67,138
364,55,67,138
365,45,67,138
366,45,67,138
367,60,68,138
368,75,69,138
369,90,70,138
370,105,71,138
371,105,71,138
372,105,71,139
373,105,71,140
374,105,71,141
375,105,71,142
376,105,71,143
377,105,71,143
378,105,71,143
379,95,71,143
380,85,71,143
381,75,71,143
382,65,71,143
383,55,71,143
384,45,71,143
385,45,71,143
386,60,72,143
387,75,73,143
388,90,74,143
389,105,75,143
390,105,75,143
391,105,75,144
392,105,75,145
393,105,75,146
394,105,75,146
395,105,75,146
396,95,75,146
397,85,75,146
398,75,75,146
399,65,75,146
400,55,75,146
401,45,75,146
402,45,75,146
403,60,76,146
404,75,77,146
405,90,78,146
406,105,79,146
407,105,79,146
408,105,79,147
409,105,79,148
410,105,79,149
411,105,79,149
412,105,79,149
413,95,79,149
414,85,79,149
415,75,79,149
416,65,79,149
417,55,79,149
418,45,79,149
419,45,79,149
420,60,80,149
421,75,81,149
422,90,82,149
423,105,83,149
424,105,83,149
425,105,83,150
426,105,83,151
427,105,83,152
428,105,83,152
429,105,83,152
430,95,83,152
431,85,83,152
432,75,83,152
433,65,83,152
434,55,83,152
435,45,83,152
436,45,83,152
437,60,84,152
438,75,85,152
439,90,86,152
440,105,87,152
441,105,87,152
442,105,87,153
443,105,87,154
444,105,87,155
445,105,87,155
446,105,87,155
447,95,87,155
448,85,87,155
449,75,87,155
450,65,87,155
451,55,87,155
452,45,87,155
453,45,87,155
454,60,88,155
455,75,89,155
456,90,90,155
457,105,91,155
458,105,91,155
459,105,91,156
460,105,91,157
